DWS Measurement v9.2.8 
08/24/18 4:18:25 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	24.98
Cuvette Thickness (mm):	5.00
Absorption Length (mm):	103.565
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	747.01
Mean Count Rate (kHz):	617.9


Lag time (s)	g2-1

1.25E-08	0.999134
 2.5E-08	0.997834
3.75E-08	0.999444
   5E-08	 1.00037
6.25E-08	0.999876
 7.5E-08	 1.00038
8.75E-08	  1.0008
   1E-07	  1.0011
1.125E-07	0.999842
1.25E-07	0.999262
1.375E-07	0.999003
 1.5E-07	0.997478
1.625E-07	0.999183
1.75E-07	0.998185
1.875E-07	  1.0006
   2E-07	0.997577
2.125E-07	0.999775
2.375E-07	0.999804
2.625E-07	0.998848
2.875E-07	0.997704
3.125E-07	0.997561
3.375E-07	0.998051
3.625E-07	0.997353
3.875E-07	0.996789
4.125E-07	0.997964
4.625E-07	0.997403
5.125E-07	0.997477
5.625E-07	0.996848
6.125E-07	0.997192
6.625E-07	0.994893
7.125E-07	0.995489
7.625E-07	 0.99565
8.125E-07	0.995988
9.125E-07	0.995694
1.0125E-06	0.995491
1.1125E-06	0.995611
1.2125E-06	0.996596
1.3125E-06	0.995991
1.4125E-06	0.996247
1.5125E-06	0.996422
1.6125E-06	0.996086
1.8125E-06	0.995912
2.0125E-06	0.994699
2.2125E-06	 0.99398
2.4125E-06	0.992812
2.6125E-06	0.993436
2.8125E-06	0.993491
3.0125E-06	0.993901
3.2125E-06	0.993861
3.6125E-06	0.992771
4.0125E-06	0.991178
4.4125E-06	0.991513
4.8125E-06	0.991769
5.2125E-06	0.990753
5.6125E-06	0.989658
6.0125E-06	0.989138
6.4125E-06	0.989362
7.2125E-06	0.987974
8.0125E-06	0.988112
8.8125E-06	0.986811
9.6125E-06	0.986854
1.04125E-05	0.985675
1.12125E-05	0.985483
1.20125E-05	0.984373
1.28125E-05	0.984372
1.44125E-05	0.983574
1.60125E-05	0.982877
1.76125E-05	0.982014
1.92125E-05	0.981442
2.08125E-05	0.980608
2.24125E-05	 0.97975
2.40125E-05	0.979054
2.56125E-05	0.978184
2.88125E-05	0.976562
3.20125E-05	0.975347
3.52125E-05	0.974442
3.84125E-05	0.973765
4.16125E-05	0.972673
4.48125E-05	0.971855
4.80125E-05	 0.97056
5.12125E-05	0.969623
5.76125E-05	0.968384
6.40125E-05	0.967142
7.04125E-05	 0.96551
7.68125E-05	0.964426
8.32125E-05	0.963544
8.96125E-05	0.962101
9.60125E-05	0.961183
0.000102	0.960481
0.000115	0.958711
0.000128	0.957377
0.000141	  0.9561
0.000154	0.954734
0.000166	0.953776
0.000179	0.952806
0.000192	0.951888
0.000205	 0.95118
 0.00023	0.949738
0.000256	0.948422
0.000282	0.947338
0.000307	0.946325
0.000333	0.945418
0.000358	0.944625
0.000384	0.943898
 0.00041	0.943221
0.000461	0.941987
0.000512	0.940969
0.000563	0.940073
0.000614	0.939307
0.000666	0.938548
0.000717	 0.93795
0.000768	0.937301
0.000819	0.936778
0.000922	0.935866
0.001024	0.935128
0.001126	0.934392
0.001229	0.933715
0.001331	0.933096
0.001434	0.932552
0.001536	0.932153
0.001638	0.931761
0.001843	 0.93098
0.002048	0.930302
0.002253	0.929733
0.002458	0.929193
0.002662	0.928685
0.002867	0.928222
0.003072	0.927827
0.003277	0.927493
0.003686	0.926847
0.004096	0.926292
0.004506	0.925855
0.004915	0.925451
0.005325	0.925075
0.005734	0.924674
0.006144	0.924328
0.006554	 0.92407
0.007373	 0.92338
0.008192	0.922817
0.009011	0.922304
 0.00983	0.921801
 0.01065	0.921296
0.011469	0.920933
0.012288	0.920505
0.013107	0.920276
0.014746	0.919433
0.016384	0.918799
0.018022	0.918265
0.019661	0.917496
0.021299	0.916787
0.022938	0.916361
0.024576	0.915883
0.026214	0.915606
0.029491	 0.91473
0.032768	0.913832
0.036045	0.912933
0.039322	0.911959
0.042598	0.911231
0.045875	0.910297
0.049152	0.909722
0.052429	0.909665
0.058982	0.908066
0.065536	0.906701
 0.07209	0.905342
0.078643	0.904142
0.085197	0.903123
 0.09175	0.902018
0.098304	0.901033
0.104858	0.901091
0.117965	0.898745
0.131072	0.896872
0.144179	0.894753
0.157286	0.892869
0.170394	0.891064
0.183501	0.889034
0.399815	0.866073
0.599722	0.847522
0.799629	0.823094
0.999536	0.809022
 1.19944	0.787376
 1.39935	0.768514
 1.59926	0.754774
 1.79917	0.733478
 1.99907	0.719438
 2.19898	0.703136
 2.39889	0.685462
 2.59879	0.674623
  2.7987	0.656464
 2.99861	0.642041
 3.19852	0.630111
 3.39842	0.613059
 3.59833	0.602413
 3.79824	0.587826
 3.99815	0.573677
 4.19805	0.565722
 4.39796	 0.54958
 4.59787	0.538604
 4.79777	0.528725
 4.99768	0.514251
 5.19759	0.506412
  5.3975	0.494291
  5.5974	0.482583
 5.79731	0.474918
 5.99722	0.462164
 6.19713	0.453349
 6.39703	 0.44391
 6.59694	0.433076
 6.79685	0.426688
 6.99676	0.415612
 7.19666	0.407189
 7.39657	0.399676
 7.59648	0.389001
 7.79638	0.382965
 7.99629	0.373837
  8.1962	0.365394
 8.39611	0.360203
 8.59601	0.350652
 8.79592	0.342913
 8.99583	0.336669
 9.19574	0.327924
 9.39564	0.322464
 9.59555	0.314866
 9.79546	0.306523
 9.99536	0.302053
 10.1953	0.292709
 10.3952	0.287118
 10.5951	0.281179
  10.795	 0.27322
 10.9949	0.268702
 11.1948	  0.2621
 11.3947	0.255821
 11.5946	0.251539
 11.7945	0.244073
 11.9944	0.239791
 12.1943	0.234081
 12.3943	0.228559
 12.5942	0.225384
 12.7941	0.218921


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

  6.417000	142.411809
 13.376000	 97.532942
 20.147000	1404.560254
 27.117000	1329.055690
 34.078000	1411.386211
 41.048000	902.603983
 48.027000	614.066728
 54.986000	889.058958
 61.947000	682.770855
 68.915000	1320.320455
 75.874000	 88.906774
 82.836000	177.524146
 89.806000	428.499197
 96.775000	1612.638081
103.736000	771.147370
110.703000	251.887547
117.664000	1188.581310
124.636000	215.138159
125.265146	609.765853
126.313722	614.216725
127.362298	612.300566
128.201158	616.414498
129.249734	619.377121
130.298310	619.687574
131.346886	618.252640
132.395462	615.555927
133.444038	611.859621
134.282899	617.372233
135.331475	621.138048
136.380051	614.417211
137.428627	620.937997
138.477203	610.012908
139.525779	614.368738
140.574355	611.895884
141.413216	609.807653
142.461792	611.024607
143.510368	604.503028
144.558944	613.479902
145.607520	614.304295
146.656096	603.154702
147.704672	610.471457
148.753248	602.213466
149.801824	606.728781
150.640685	610.572095
151.689261	611.302966
152.737837	614.378635
153.786413	612.329101
154.834989	612.210481
155.883565	609.765627
156.932141	612.146066
157.980717	617.986101
158.819578	618.200273
159.868154	617.134020
160.916730	621.353220
161.965306	621.085212
163.013882	629.504010
164.062458	622.537083
165.111034	621.465680
166.159610	630.214109
167.208186	629.079625
168.047046	628.541562
169.095622	618.612189
170.144198	620.039604
171.192774	623.284771
172.241350	615.387605
173.289926	622.336374
174.338502	623.952584
175.387078	621.280630
176.435654	621.031968
177.484230	615.097572
178.323091	612.422335
179.371667	613.718936
180.420243	616.140471
181.468819	621.569756

Measurement notes:

