DWS Measurement v9.2.8
10/11/18 8:15:17 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	20.03
Cuvette Thickness (mm):	5.00
Absorption Length (mm):	86.701
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	786.14
Mean Count Rate (kHz):	599.2


Lag time (s)	g2-1

1.250000E-8	0.999905
2.500000E-8	0.998825
3.750000E-8	1.001050
5.000000E-8	0.999926
6.250000E-8	1.001920
7.500000E-8	1.000030
8.750000E-8	0.998471
1.000000E-7	0.999991
1.125000E-7	0.999980
1.250000E-7	0.999715
1.375000E-7	0.996381
1.500000E-7	1.001230
1.625000E-7	0.999048
1.750000E-7	0.999120
1.875000E-7	1.000960
2.000000E-7	0.996114
2.125000E-7	0.997323
2.375000E-7	0.999569
2.625000E-7	0.998281
2.875000E-7	0.998772
3.125000E-7	0.997040
3.375000E-7	0.998711
3.625000E-7	0.998901
3.875000E-7	0.997919
4.125000E-7	0.999178
4.625000E-7	0.997649
5.125000E-7	0.997217
5.625000E-7	0.997006
6.125000E-7	0.997468
6.625000E-7	0.996314
7.125000E-7	0.995228
7.625000E-7	0.995945
8.125000E-7	0.996569
9.125000E-7	0.996504
1.012500E-6	0.996401
1.112500E-6	0.996468
1.212500E-6	0.996770
1.312500E-6	0.996762
1.412500E-6	0.996911
1.512500E-6	0.996878
1.612500E-6	0.997313
1.812500E-6	0.996838
2.012500E-6	0.995362
2.212500E-6	0.995046
2.412500E-6	0.993994
2.612500E-6	0.993132
2.812500E-6	0.994538
3.012500E-6	0.995295
3.212500E-6	0.995251
3.612500E-6	0.993865
4.012500E-6	0.991797
4.412500E-6	0.992352
4.812500E-6	0.992995
5.212500E-6	0.992047
5.612500E-6	0.990517
6.012500E-6	0.990104
6.412500E-6	0.990636
7.212500E-6	0.989480
8.012500E-6	0.989202
8.812500E-6	0.987719
9.612500E-6	0.987902
1.041250E-5	0.986812
1.121250E-5	0.986741
1.201250E-5	0.985677
1.281250E-5	0.985459
1.441250E-5	0.984930
1.601250E-5	0.984043
1.761250E-5	0.983481
1.921250E-5	0.982573
2.081250E-5	0.982259
2.241250E-5	0.981283
2.401250E-5	0.980378
2.561250E-5	0.979534
2.881250E-5	0.977902
3.201250E-5	0.976743
3.521250E-5	0.975861
3.841250E-5	0.975061
4.161250E-5	0.974388
4.481250E-5	0.973181
4.801250E-5	0.972002
5.121250E-5	0.971010
5.761250E-5	0.969737
6.401250E-5	0.968556
7.041250E-5	0.966517
7.681250E-5	0.965559
8.321250E-5	0.964753
8.961250E-5	0.963351
9.601250E-5	0.962408
0.000102	0.961738
0.000115	0.959788
0.000128	0.958144
0.000141	0.956825
0.000154	0.955550
0.000166	0.954437
0.000179	0.953256
0.000192	0.952341
0.000205	0.951461
0.000230	0.949786
0.000256	0.948295
0.000282	0.947032
0.000307	0.945930
0.000333	0.944821
0.000358	0.943900
0.000384	0.942998
0.000410	0.942265
0.000461	0.940778
0.000512	0.939624
0.000563	0.938532
0.000614	0.937611
0.000666	0.936675
0.000717	0.935957
0.000768	0.935129
0.000819	0.934560
0.000922	0.933409
0.001024	0.932272
0.001126	0.931334
0.001229	0.930568
0.001331	0.929778
0.001434	0.929127
0.001536	0.928549
0.001638	0.928009
0.001843	0.926929
0.002048	0.926026
0.002253	0.925303
0.002458	0.924611
0.002662	0.923930
0.002867	0.923246
0.003072	0.922695
0.003277	0.922234
0.003686	0.921333
0.004096	0.920605
0.004506	0.919968
0.004915	0.919325
0.005325	0.918743
0.005734	0.918197
0.006144	0.917664
0.006554	0.917231
0.007373	0.916222
0.008192	0.915309
0.009011	0.914549
0.009830	0.913863
0.010650	0.913227
0.011469	0.912638
0.012288	0.912048
0.013107	0.911655
0.014746	0.910432
0.016384	0.909484
0.018022	0.908688
0.019661	0.907940
0.021299	0.907034
0.022938	0.906274
0.024576	0.905628
0.026214	0.905159
0.029491	0.903822
0.032768	0.902678
0.036045	0.901546
0.039322	0.900567
0.042598	0.899510
0.045875	0.898342
0.049152	0.897459
0.052429	0.897018
0.058982	0.895213
0.065536	0.893666
0.072090	0.892170
0.078643	0.890751
0.085197	0.889321
0.091750	0.887630
0.098304	0.886304
0.104858	0.886086
0.117965	0.883400
0.131072	0.881032
0.144179	0.878601
0.157286	0.876080
0.170394	0.873356
0.183501	0.870750
0.399815	0.843842
0.599722	0.823352
0.799629	0.798975
0.999536	0.783066
1.199440	0.762703
1.399350	0.743764
1.599260	0.729575
1.799160	0.708744
1.999070	0.693569
2.198980	0.677080
2.398890	0.659132
2.598790	0.646924
2.798700	0.629141
2.998610	0.614229
3.198520	0.601902
3.398420	0.584344
3.598330	0.572890
3.798240	0.557622
3.998150	0.543605
4.198050	0.533194
4.397960	0.517686
4.597870	0.505051
4.797770	0.494399
4.997680	0.480375
5.197590	0.471219
5.397500	0.457601
5.597400	0.446128
5.797310	0.438349
5.997220	0.425663
6.197120	0.416099
6.397030	0.407670
6.596940	0.397012
6.796850	0.389724
6.996750	0.378239
7.196660	0.369159
7.396570	0.361935
7.596480	0.351280
7.796380	0.343857
7.996290	0.335525
8.196200	0.327813
8.396110	0.321618
8.596010	0.312106
8.795920	0.304667
8.995830	0.298644
9.195730	0.290399
9.395640	0.284295
9.595550	0.276987
9.795460	0.270475
9.995360	0.265803
10.195300	0.258113
10.395200	0.251717
10.595100	0.245511
10.795000	0.238839
10.994900	0.234665
11.194800	0.227878
11.394700	0.222787
11.594600	0.218370
11.794500	0.212122
11.994400	0.206674
12.194300	0.201925
12.394300	0.196288
12.594200	0.193039
12.794100	0.187450


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

13.203000	140.463732
20.164000	171.694558
27.134000	958.771340
34.104000	613.045109
41.063000	170.781670
47.834000	181.222496
54.803000	288.027355
61.772000	619.170522
68.743000	772.677317
75.702000	1576.841951
82.673000	653.740810
89.645000	1065.894367
96.604000	1039.887023
103.573000	860.414208
110.534000	213.682654
117.501000	259.653141
124.465000	690.032522
125.094146	603.096996
126.142722	601.524822
127.191298	601.204797
128.030158	602.222488
129.078734	604.271108
130.127310	604.272904
131.175886	603.543941
132.224462	606.541952
133.273038	599.165233
134.111899	600.359793
135.160475	604.062660
136.209051	603.222050
137.257627	603.067170
138.306203	610.096923
139.354779	605.004980
140.403355	608.163915
141.451931	607.719478
142.290792	602.772480
143.339368	604.327927
144.387944	600.374369
145.436520	598.209296
146.485096	601.687506
147.533672	598.095472
148.582248	596.862898
149.630824	599.172861
150.679400	596.390998
151.518261	594.422357
152.566837	595.311334
153.615413	596.156090
154.663989	594.108232
155.712565	589.723058
156.761141	593.874714
157.809717	599.794338
158.858293	598.116830
159.906869	593.456575
160.745730	595.360952
161.794306	603.247647
162.842882	600.747370
163.891458	603.609315
164.940034	599.197359
165.988610	603.635337
167.037186	608.862896
168.085762	602.767799
169.134338	603.849378
169.973198	603.890221
171.021774	607.429923
172.070350	606.919890
173.118926	611.635648
174.167502	613.362584
175.216078	612.493310
176.264654	612.111868
177.313230	612.146209
178.361806	604.968010
179.200667	610.985340
180.249243	614.236848
181.297819	614.302311
0.000000	0.000000
0.000000	0.000000
0.000000	0.000000

Measurement Notes:

