DWS Measurement v9.2.8
10/11/18 8:12:21 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	24.98
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	Inf
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	861.06
Mean Count Rate (kHz):	129.1


Lag time (s)	g2-1

1.250000E-8	1.007040
2.500000E-8	1.005170
3.750000E-8	0.999254
5.000000E-8	0.999787
6.250000E-8	1.007480
7.500000E-8	0.997578
8.750000E-8	1.001850
1.000000E-7	0.993957
1.125000E-7	0.994433
1.250000E-7	0.993877
1.375000E-7	1.002060
1.500000E-7	1.000030
1.625000E-7	0.999447
1.750000E-7	1.008900
1.875000E-7	0.992768
2.000000E-7	1.011640
2.125000E-7	1.006880
2.375000E-7	1.007950
2.625000E-7	0.998200
2.875000E-7	1.005150
3.125000E-7	1.005700
3.375000E-7	1.002160
3.625000E-7	0.992736
3.875000E-7	0.998247
4.125000E-7	0.997802
4.625000E-7	0.990053
5.125000E-7	1.002770
5.625000E-7	0.995264
6.125000E-7	0.991357
6.625000E-7	0.996935
7.125000E-7	0.999463
7.625000E-7	0.994262
8.125000E-7	0.989414
9.125000E-7	0.997772
1.012500E-6	0.989550
1.112500E-6	0.994994
1.212500E-6	0.996884
1.312500E-6	0.997170
1.412500E-6	0.995958
1.512500E-6	0.995620
1.612500E-6	0.996247
1.812500E-6	0.996141
2.012500E-6	0.993667
2.212500E-6	0.987597
2.412500E-6	0.986627
2.612500E-6	0.984657
2.812500E-6	0.988930
3.012500E-6	0.988431
3.212500E-6	0.990362
3.612500E-6	0.985899
4.012500E-6	0.981795
4.412500E-6	0.982395
4.812500E-6	0.985077
5.212500E-6	0.980913
5.612500E-6	0.977478
6.012500E-6	0.977673
6.412500E-6	0.978109
7.212500E-6	0.973950
8.012500E-6	0.974924
8.812500E-6	0.971890
9.612500E-6	0.969850
1.041250E-5	0.966665
1.121250E-5	0.968994
1.201250E-5	0.964332
1.281250E-5	0.965070
1.441250E-5	0.963221
1.601250E-5	0.960840
1.761250E-5	0.959480
1.921250E-5	0.957739
2.081250E-5	0.956121
2.241250E-5	0.954859
2.401250E-5	0.952581
2.561250E-5	0.949780
2.881250E-5	0.945643
3.201250E-5	0.942452
3.521250E-5	0.941318
3.841250E-5	0.938522
4.161250E-5	0.937291
4.481250E-5	0.935056
4.801250E-5	0.931371
5.121250E-5	0.928613
5.761250E-5	0.926885
6.401250E-5	0.923249
7.041250E-5	0.918995
7.681250E-5	0.917332
8.321250E-5	0.915273
8.961250E-5	0.911624
9.601250E-5	0.909962
0.000102	0.908499
0.000115	0.904140
0.000128	0.901332
0.000141	0.897966
0.000154	0.895201
0.000166	0.893469
0.000179	0.890537
0.000192	0.888625
0.000205	0.887133
0.000230	0.883666
0.000256	0.880901
0.000282	0.878232
0.000307	0.876477
0.000333	0.874184
0.000358	0.872596
0.000384	0.870893
0.000410	0.869349
0.000461	0.866853
0.000512	0.864451
0.000563	0.862590
0.000614	0.860715
0.000666	0.859282
0.000717	0.858168
0.000768	0.857073
0.000819	0.855768
0.000922	0.853808
0.001024	0.852153
0.001126	0.850605
0.001229	0.849235
0.001331	0.848186
0.001434	0.847005
0.001536	0.845972
0.001638	0.845189
0.001843	0.843430
0.002048	0.841854
0.002253	0.840526
0.002458	0.839422
0.002662	0.838116
0.002867	0.837044
0.003072	0.836013
0.003277	0.835001
0.003686	0.833274
0.004096	0.831530
0.004506	0.830238
0.004915	0.828817
0.005325	0.827711
0.005734	0.826752
0.006144	0.825923
0.006554	0.825119
0.007373	0.823773
0.008192	0.822898
0.009011	0.822244
0.009830	0.822126
0.010650	0.821914
0.011469	0.821903
0.012288	0.821632
0.013107	0.822218
0.014746	0.824039
0.016384	0.826277
0.018022	0.827719
0.019661	0.827201
0.021299	0.825046
0.022938	0.822422
0.024576	0.819530
0.026214	0.817643
0.029491	0.815724
0.032768	0.816995
0.036045	0.818934
0.039322	0.819333
0.042598	0.817231
0.045875	0.813166
0.049152	0.811647
0.052429	0.812652
0.058982	0.813157
0.065536	0.810622
0.072090	0.807646
0.078643	0.808024
0.085197	0.807292
0.091750	0.802934
0.098304	0.804024
0.104858	0.803750
0.117965	0.800488
0.131072	0.797073
0.144179	0.795249
0.157286	0.792253
0.170394	0.789784
0.183501	0.787491
0.399815	0.764812
0.599722	0.744606
0.799630	0.726307
0.999537	0.710270
1.199440	0.692703
1.399350	0.676919
1.599260	0.662219
1.799170	0.646637
1.999070	0.632486
2.198980	0.616841
2.398890	0.602862
2.598800	0.589402
2.798700	0.574712
2.998610	0.561944
3.198520	0.549304
3.398430	0.537585
3.598330	0.525071
3.798240	0.512468
3.998150	0.499576
4.198060	0.488930
4.397960	0.476645
4.597870	0.467674
4.797780	0.457633
4.997680	0.445692
5.197590	0.437667
5.397500	0.426945
5.597410	0.417154
5.797320	0.408336
5.997220	0.399371
6.197130	0.389242
6.397040	0.379497
6.596940	0.371276
6.796850	0.363658
6.996760	0.356530
7.196670	0.348066
7.396570	0.340082
7.596480	0.332286
7.796390	0.325653
7.996300	0.318812
8.196200	0.310094
8.396110	0.302492
8.596020	0.295821
8.795930	0.289987
8.995830	0.283582
9.195740	0.276977
9.395650	0.272599
9.595560	0.264135
9.795460	0.259429
9.995370	0.255892
10.195300	0.248987
10.395200	0.242440
10.595100	0.239846
10.795000	0.233338
10.994900	0.228338
11.194800	0.221632
11.394700	0.216285
11.594600	0.212060
11.794500	0.208145
11.994400	0.201454
12.194400	0.198097
12.394300	0.193399
12.594200	0.190202
12.794100	0.184438


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

13.381000	114.628525
20.350000	105.542774
27.311000	81.508986
34.280000	80.847194
41.242000	215.914288
48.209000	218.279783
55.170000	48.973256
62.140000	73.403869
69.110000	271.445481
76.071000	28.069371
83.041000	105.431401
90.010000	70.773934
96.970000	65.824927
103.940000	75.981301
110.710000	184.244272
117.680000	58.747837
124.651000	59.322842
125.280146	126.598377
126.328722	126.666434
127.377298	125.941363
128.216158	127.504951
129.264734	127.273860
130.313310	125.730838
131.361886	126.451635
132.410462	127.029041
133.459038	126.828269
134.297899	127.730080
135.346475	127.102832
136.395051	126.969989
137.443627	129.203682
138.492203	129.429652
139.540779	129.389113
140.589355	129.282719
141.637931	130.104800
142.476792	128.823820
143.525368	129.133965
144.573944	128.460666
145.622520	128.624269
146.671096	128.321399
147.719672	128.288113
148.768248	126.682040
149.816824	128.179033
150.865400	125.954146
151.913976	128.278136
152.752837	126.971611
153.801413	126.221052
154.849989	126.485825
155.898565	125.665665
156.947141	125.163521
157.995717	127.351713
159.044293	127.188443
160.092869	127.966286
161.141445	126.347444
162.190021	126.588317
163.028882	126.390405
164.077458	126.516818
165.126034	127.599238
166.174610	127.963479
167.223186	127.334534
168.271762	128.755449
169.320338	129.066597
170.368914	126.622543
171.417490	128.328723
172.466066	126.780585
173.304926	127.125091
174.353502	127.543759
175.402078	128.293033
176.450654	128.450391
177.499230	129.405810
178.547806	129.810725
179.596382	129.883108
180.644958	129.682594
181.693534	129.885428
0.000000	0.000000
0.000000	0.000000
0.000000	0.000000

Measurement Notes:

