DWS Measurement v9.2.8 
08/24/18 10:27:40 AM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	30.00
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	193.813
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	863.89
Mean Count Rate (kHz):	128.8


Lag time (s)	g2-1

1.25E-08	0.994805
 2.5E-08	0.995244
3.75E-08	  1.0004
   5E-08	 1.00602
6.25E-08	0.992302
 7.5E-08	 1.01207
8.75E-08	 1.00504
   1E-07	0.994367
1.125E-07	0.999992
1.25E-07	0.995537
1.375E-07	 1.00222
 1.5E-07	 1.00079
1.625E-07	 0.99744
1.75E-07	0.990936
1.875E-07	0.996286
   2E-07	0.991822
2.125E-07	0.990119
2.375E-07	0.998811
2.625E-07	0.993873
2.875E-07	 1.00061
3.125E-07	 0.98743
3.375E-07	0.994898
3.625E-07	0.997003
3.875E-07	0.994266
4.125E-07	0.991248
4.625E-07	0.988132
5.125E-07	0.990059
5.625E-07	0.991349
6.125E-07	0.991723
6.625E-07	 0.98615
7.125E-07	0.986687
7.625E-07	0.987223
8.125E-07	0.987954
9.125E-07	0.986398
1.0125E-06	 0.98702
1.1125E-06	0.990406
1.2125E-06	0.989206
1.3125E-06	0.990823
1.4125E-06	0.991932
1.5125E-06	0.993182
1.6125E-06	0.989706
1.8125E-06	0.988848
2.0125E-06	0.986205
2.2125E-06	0.980655
2.4125E-06	0.979701
2.6125E-06	0.980048
2.8125E-06	0.983097
3.0125E-06	0.981323
3.2125E-06	0.983248
3.6125E-06	0.982513
4.0125E-06	 0.97471
4.4125E-06	0.973709
4.8125E-06	0.976973
5.2125E-06	0.975725
5.6125E-06	0.969136
6.0125E-06	 0.96994
6.4125E-06	0.972411
7.2125E-06	0.966955
8.0125E-06	0.968429
8.8125E-06	0.964125
9.6125E-06	0.964857
1.04125E-05	0.959067
1.12125E-05	0.961217
1.20125E-05	0.957271
1.28125E-05	0.957321
1.44125E-05	0.955771
1.60125E-05	0.952397
1.76125E-05	0.951389
1.92125E-05	0.949115
2.08125E-05	0.948339
2.24125E-05	0.945315
2.40125E-05	0.943472
2.56125E-05	0.941354
2.88125E-05	0.937949
3.20125E-05	0.934684
3.52125E-05	0.933285
3.84125E-05	0.931158
4.16125E-05	0.928605
4.48125E-05	0.925965
4.80125E-05	0.923098
5.12125E-05	0.921005
5.76125E-05	0.918287
6.40125E-05	0.915626
7.04125E-05	0.911922
7.68125E-05	0.909552
8.32125E-05	0.907038
8.96125E-05	0.904705
9.60125E-05	0.902624
0.000102	0.901041
0.000115	0.897499
0.000128	0.894523
0.000141	0.892141
0.000154	0.889693
0.000166	0.887771
0.000179	0.886041
0.000192	0.883891
0.000205	 0.88253
 0.00023	0.879638
0.000256	0.877087
0.000282	0.874662
0.000307	0.872932
0.000333	 0.87107
0.000358	0.869758
0.000384	0.868457
 0.00041	0.867346
0.000461	0.865255
0.000512	0.863195
0.000563	0.861671
0.000614	0.860087
0.000666	0.859016
0.000717	0.858009
0.000768	0.856998
0.000819	0.856213
0.000922	0.854662
0.001024	0.853401
0.001126	0.851998
0.001229	 0.85081
0.001331	0.849961
0.001434	0.849097
0.001536	0.848128
0.001638	0.847359
0.001843	0.845756
0.002048	0.844556
0.002253	0.843285
0.002458	0.842101
0.002662	0.840798
0.002867	0.839893
0.003072	0.839158
0.003277	0.838365
0.003686	0.836713
0.004096	0.835573
0.004506	 0.83435
0.004915	0.833408
0.005325	0.832791
0.005734	0.832096
0.006144	0.831267
0.006554	0.830555
0.007373	0.829389
0.008192	0.828202
0.009011	0.827383
 0.00983	0.827174
 0.01065	 0.82724
0.011469	0.827624
0.012288	0.827709
0.013107	0.827955
0.014746	0.828952
0.016384	0.830516
0.018022	0.831007
0.019661	0.829749
0.021299	0.827338
0.022938	0.825198
0.024576	0.823061
0.026214	0.821609
0.029491	0.820526
0.032768	 0.82086
0.036045	0.821474
0.039322	0.819788
0.042598	0.818326
0.045875	0.815144
0.049152	0.814677
0.052429	0.815314
0.058982	0.812544
0.065536	0.810659
 0.07209	0.808293
0.078643	0.805579
0.085197	0.804986
 0.09175	0.801063
0.098304	0.800492
0.104858	0.799614
0.117965	0.795607
0.131072	0.790994
0.144179	0.787452
0.157286	0.783466
0.170394	0.779358
0.183501	0.775538
0.399815	0.732734
0.599722	0.696597
 0.79963	0.660739
0.999537	0.630295
 1.19945	0.599071
 1.39935	0.571436
 1.59926	0.545192
 1.79917	0.519759
 1.99907	0.496576
 2.19898	0.474042
 2.39889	0.451678
  2.5988	0.431254
  2.7987	0.411742
 2.99861	0.394992
 3.19852	0.375432
 3.39843	 0.35889
 3.59834	 0.34435
 3.79824	0.328204
 3.99815	 0.31318
 4.19806	0.299524
 4.39797	0.286788
 4.59787	0.274176
 4.79778	0.262617
 4.99769	0.251712
 5.19759	0.241507
  5.3975	0.232283
 5.59741	0.222803
 5.79732	0.212824
 5.99723	0.204168
 6.19713	 0.19654
 6.39704	0.188336
 6.59695	0.180521
 6.79685	0.173292
 6.99676	0.166148
 7.19667	0.159556
 7.39658	0.154063
 7.59649	0.147475
 7.79639	0.143326
  7.9963	0.137789
 8.19621	0.133001
 8.39611	0.128731
 8.59602	0.123803
 8.79593	 0.11848
 8.99584	0.114026
 9.19575	0.110447
 9.39565	0.106329
 9.59556	0.101602
 9.79547	0.099196
 9.99537	0.095861
 10.1953	0.0925477
 10.3952	0.0881373
 10.5951	0.0852293
  10.795	0.083013
 10.9949	0.080567
 11.1948	0.0782813
 11.3947	0.0751727
 11.5946	0.072672
 11.7945	0.0711133
 11.9944	0.0688117
 12.1944	0.0667607
 12.3943	0.0643993
 12.5942	0.0638837
 12.7941	0.0610573


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

  6.424000	 72.257466
 13.394000	 36.819631
 20.353000	222.382345
 27.324000	 58.601664
 34.284000	310.225582
 41.254000	139.055231
 48.221000	256.006787
 55.183000	 56.972723
 62.153000	102.493537
 69.114000	 75.622362
 76.084000	394.522125
 83.051000	 32.102527
 90.012000	102.572315
 96.972000	 75.128895
103.941000	132.349881
110.891000	 70.609811
117.852000	 36.947608
124.811000	113.090101
125.440146	128.122631
126.488722	128.650470
127.537298	128.392252
128.376158	128.794620
129.424734	126.600222
130.473310	127.691453
131.521886	128.367339
132.570462	125.560754
133.619038	129.607759
134.457899	128.608731
135.506475	128.674504
136.555051	128.149858
137.603627	127.513248
138.652203	125.772704
139.700779	127.720826
140.749355	126.573801
141.797931	127.637004
142.636792	128.226184
143.685368	127.959361
144.733944	130.143033
145.782520	129.637571
146.831096	129.816998
147.879672	129.245309
148.928248	130.664370
149.976824	129.152857
151.025400	129.967059
152.073976	129.989551
153.122552	130.264738
154.171128	129.568575
155.219704	130.840160
156.058565	127.476230
157.107141	130.088495
158.155717	132.236370
159.204293	130.351899
160.252869	128.474108
161.301445	130.426502
162.350021	128.932413
163.398597	127.036400
164.447173	128.002968
165.495749	129.210844
166.544325	129.604308
167.383186	129.269565
168.431762	128.597432
169.480338	127.345329
170.528914	128.431292
171.577490	127.818512
172.626066	128.649764
173.674642	128.579303
174.723218	127.985332
175.771794	126.364002
176.820370	125.915755
177.868946	127.420165
178.707806	127.872852
179.756382	129.137662
180.804958	127.775375

Measurement notes:

