DWS Measurement v9.2.8
10/11/18 8:13:27 PM

Correlation Mode:	Cross
Geometry:	Transmission
Analysis Type:	DWS MicroRheology
Multi-Tau Duration (s):	120
Echo Duration (s):	60
Wavelength (nm):	685.0
Temperature (°C):	19.99
Cuvette Thickness (mm):	10.00
Absorption Length (mm):	112.727
Solvent:	Water
Solvent Refractive Index:	1.329
Particle Radius (nm):	300.0
l* (microns):	943.21
Mean Count Rate (kHz):	122.7


Lag time (s)	g2-1

1.250000E-8	1.004140
2.500000E-8	0.994013
3.750000E-8	1.003340
5.000000E-8	0.994557
6.250000E-8	1.002110
7.500000E-8	1.001150
8.750000E-8	0.998310
1.000000E-7	1.010900
1.125000E-7	1.008490
1.250000E-7	1.008510
1.375000E-7	0.994157
1.500000E-7	0.994263
1.625000E-7	1.007240
1.750000E-7	0.998073
1.875000E-7	0.988724
2.000000E-7	0.994425
2.125000E-7	1.005010
2.375000E-7	1.001160
2.625000E-7	0.991115
2.875000E-7	0.992646
3.125000E-7	0.993216
3.375000E-7	0.995607
3.625000E-7	0.990283
3.875000E-7	0.995877
4.125000E-7	0.992679
4.625000E-7	0.994822
5.125000E-7	0.992229
5.625000E-7	0.991273
6.125000E-7	0.993030
6.625000E-7	0.995042
7.125000E-7	0.998838
7.625000E-7	0.983967
8.125000E-7	0.987698
9.125000E-7	0.988981
1.012500E-6	0.990035
1.112500E-6	0.997586
1.212500E-6	0.988841
1.312500E-6	0.994223
1.412500E-6	0.994872
1.512500E-6	0.991746
1.612500E-6	0.992930
1.812500E-6	0.995312
2.012500E-6	0.986672
2.212500E-6	0.989834
2.412500E-6	0.985917
2.612500E-6	0.986402
2.812500E-6	0.984975
3.012500E-6	0.985393
3.212500E-6	0.985679
3.612500E-6	0.985979
4.012500E-6	0.981990
4.412500E-6	0.980079
4.812500E-6	0.981959
5.212500E-6	0.979800
5.612500E-6	0.975578
6.012500E-6	0.976926
6.412500E-6	0.977199
7.212500E-6	0.973786
8.012500E-6	0.971951
8.812500E-6	0.970692
9.612500E-6	0.971356
1.041250E-5	0.967596
1.121250E-5	0.970636
1.201250E-5	0.966714
1.281250E-5	0.965251
1.441250E-5	0.963318
1.601250E-5	0.961089
1.761250E-5	0.959251
1.921250E-5	0.957626
2.081250E-5	0.955766
2.241250E-5	0.955150
2.401250E-5	0.952554
2.561250E-5	0.950586
2.881250E-5	0.946510
3.201250E-5	0.942810
3.521250E-5	0.941291
3.841250E-5	0.940307
4.161250E-5	0.938354
4.481250E-5	0.935214
4.801250E-5	0.933030
5.121250E-5	0.930638
5.761250E-5	0.927641
6.401250E-5	0.924739
7.041250E-5	0.920495
7.681250E-5	0.918238
8.321250E-5	0.916359
8.961250E-5	0.913128
9.601250E-5	0.911158
0.000102	0.909368
0.000115	0.905118
0.000128	0.901855
0.000141	0.898915
0.000154	0.895813
0.000166	0.893454
0.000179	0.891109
0.000192	0.888705
0.000205	0.887016
0.000230	0.883280
0.000256	0.880131
0.000282	0.877446
0.000307	0.875473
0.000333	0.872912
0.000358	0.870838
0.000384	0.869053
0.000410	0.867522
0.000461	0.864167
0.000512	0.861710
0.000563	0.859602
0.000614	0.857495
0.000666	0.855686
0.000717	0.854064
0.000768	0.852701
0.000819	0.851301
0.000922	0.849221
0.001024	0.847322
0.001126	0.845508
0.001229	0.843913
0.001331	0.842724
0.001434	0.841418
0.001536	0.840500
0.001638	0.839565
0.001843	0.837732
0.002048	0.836077
0.002253	0.834788
0.002458	0.833339
0.002662	0.832397
0.002867	0.831303
0.003072	0.830167
0.003277	0.829139
0.003686	0.827426
0.004096	0.825727
0.004506	0.824473
0.004915	0.823040
0.005325	0.821812
0.005734	0.820599
0.006144	0.819680
0.006554	0.818636
0.007373	0.816938
0.008192	0.815581
0.009011	0.814626
0.009830	0.813966
0.010650	0.813557
0.011469	0.813751
0.012288	0.813979
0.013107	0.814760
0.014746	0.816526
0.016384	0.818722
0.018022	0.820076
0.019661	0.820191
0.021299	0.818481
0.022938	0.815907
0.024576	0.812798
0.026214	0.810628
0.029491	0.808629
0.032768	0.809531
0.036045	0.811987
0.039322	0.813406
0.042598	0.811770
0.045875	0.808480
0.049152	0.806216
0.052429	0.806324
0.058982	0.808409
0.065536	0.807283
0.072090	0.803097
0.078643	0.804425
0.085197	0.805023
0.091750	0.799654
0.098304	0.801298
0.104858	0.801289
0.117965	0.798749
0.131072	0.796610
0.144179	0.795467
0.157286	0.793705
0.170394	0.792000
0.183501	0.790534
0.399815	0.775893
0.599722	0.765896
0.799630	0.754115
0.999537	0.742062
1.199440	0.733897
1.399350	0.722044
1.599260	0.714413
1.799170	0.703333
1.999070	0.695303
2.198980	0.683883
2.398890	0.676061
2.598800	0.666119
2.798700	0.659223
2.998610	0.650000
3.198520	0.642122
3.398430	0.631466
3.598330	0.624118
3.798240	0.617017
3.998150	0.609859
4.198060	0.600476
4.397960	0.592981
4.597870	0.587788
4.797780	0.579415
4.997680	0.572606
5.197590	0.563130
5.397500	0.556961
5.597410	0.549578
5.797320	0.543943
5.997220	0.534507
6.197130	0.526654
6.397040	0.520020
6.596940	0.513448
6.796850	0.505777
6.996760	0.500512
7.196670	0.493750
7.396570	0.487747
7.596480	0.480936
7.796390	0.474015
7.996300	0.466531
8.196200	0.459908
8.396110	0.455190
8.596020	0.449089
8.795930	0.441585
8.995830	0.436203
9.195740	0.430689
9.395650	0.426768
9.595560	0.420191
9.795460	0.414251
9.995370	0.410367
10.195300	0.405299
10.395200	0.397856
10.595100	0.393696
10.795000	0.388139
10.994900	0.383713
11.194800	0.380655
11.394700	0.372699
11.594600	0.370504
11.794500	0.365384
11.994400	0.359810
12.194400	0.355698
12.394300	0.352578
12.594200	0.348044
12.794100	0.343044


Count Rate  History (kHz) 
Elapsed Time (s)	Count Rate (kHz)

13.395000	81.293702
20.355000	32.814317
27.324000	61.981946
34.285000	66.392249
41.255000	138.406580
48.215000	104.918580
55.182000	278.677903
62.145000	104.523564
69.114000	71.016128
76.076000	88.195360
83.045000	157.273215
90.014000	77.051508
96.975000	63.845132
103.944000	33.550630
110.914000	33.455599
117.875000	39.757774
124.841000	47.080470
125.470146	124.163889
126.518722	122.761637
127.567298	124.280915
128.406158	122.684888
129.454734	122.323431
130.503310	122.017177
131.551886	124.278165
132.600462	123.474451
133.649038	123.381343
134.487899	122.214999
135.536475	123.289888
136.585051	123.706455
137.633627	123.957537
138.682203	121.372328
139.730779	122.666645
140.779355	121.315143
141.827931	121.263562
142.666792	122.602788
143.715368	122.727123
144.763944	121.332477
145.812520	121.476437
146.861096	122.308197
147.909672	122.926384
148.958248	122.367100
150.006824	122.259096
151.055400	122.227094
151.894261	121.065337
152.942837	121.646196
153.991413	122.959470
155.039989	122.464916
156.088565	120.607458
157.137141	121.929801
158.185717	121.850870
159.234293	121.932092
160.282869	121.189007
161.121730	121.113810
162.170306	121.465105
163.218882	123.522496
164.267458	120.851939
165.316034	121.180982
166.364610	121.383002
167.413186	122.507253
168.461762	121.323902
169.300622	121.393039
170.349198	121.727299
171.397774	121.891651
172.446350	122.127482
173.494926	121.766424
174.543502	121.864298
175.592078	122.345992
176.640654	122.917838
177.689230	122.886392
178.737806	123.684495
179.576667	123.056779
180.625243	121.649830
181.673819	122.056663
0.000000	0.000000
0.000000	0.000000
0.000000	0.000000

Measurement Notes:

